Symbol,Name
RSW.L,Renishaw plc
RTN.L,Restaurant Group
RHIM.L,RHI Magnesita N.V.
RCP.L,RIT Capital Partners plc
ROR.L,Rotork plc
RMG.L,Royal Mail PLC
SBRE.L,Sabre Insurance Group Plc
SAFE.L,Safestore Holdings
SNN.L,Sanne Group plc
SVS.L,Savills plc
SDP.L,Schroder Asia Pacific Fund
SOI.L,Schroder Oriental Income Fund
SCIN.L,Scottish Investment Trust plc
SNR.L,Senior plc
SEQI.L,Sequoia Economic Infrastructure Income Fund Ltd
SRP.L,Serco Group plc
SHB.L,Shaftesbury
SHI.L,Sig plc
SIG.L,Signature Aviation plc
SRE.L,Sirius Real Estate Limited
SSON.L,Smithson Investment Trust Plc
SCT.L,Softcat plc
SXS.L,Spectris plc
SPT.L,Spirent Communications plc
SSPG.L,SSP Group plc
SMP.L,St Modwen Properties plc
SGC.L,Stagecoach Group plc
SYNC.L,Syncona Limited
SYNT.L,Synthomer plc
TALK.L,Talktalk Telecom Group Plc
TATE.L,Tate & Lyle plc
TBCG.L,TBC Bank Group Plc
TEP.L,Telecom Plus plc
TMPL.L,Temple Bar Investment Trust plc
TEM.L,Templeton Emerging Markets Inv Tst plc
TRIG.L,The Renewables Infrastructure Group Limited
TIFS.L,TI Fluid Systems plc
TCAP.L,TP ICAP plc
TRY.L,TR Property Investment Trust plc
TRN.L,Trainline plc
TPK.L,Travis Perkins plc
BBOX.L,Tritax Big Box REIT plc
TLW.L,Tullow Oil plc
UDG.L,UDG Healthcare plc
UKCM.L,UK Commercial Property Reit Limited
ULE.L,Ultra Electronics Holdings
UTG.L,Unite Group
VSVS.L,Vesuvius plc
VCT.L,Victrex
VEIL.L,Vietnam Enterprise Investments Ltd
VOF.L,VinaCapital Vietnam Opportunity Fund Ltd
VMUK.L,Virgin Money UK plc
VTY.L,Vistry Group Plc
VVO.L,Vivo Energy Plc
WOSG.L,Watches Of Switzerland Group plc
WEIR.L,Weir Group plc
SMWH.L,WH Smith Plc
WMH.L,William Hill plc
WTAN.L,Witan Investment Trust plc
WIZZ.L,Wizz Air Holdings plc
WG.L,Wood Group (John) Plc
WKP.L,Workspace Group Plc
WWH.L,Worldwide Healthcare Trust plc
