Symbol,Name
III.L,3i Group Plc
ADM.L,Admiral Group
AAL.L,Anglo American
ANTO.L,Antofagasta Holdings
AHT.L,Ashtead Group plc
ABF.L,Associated British Foods plc
AZN.L,AstraZeneca plc
AUTO.L,Auto Trader Group plc
AVV.L,AVEVA Group plc
AV.L,Aviva plc
BA.L,BAE Systems plc
BARC.L,Barclays plc
BDEV.L,Barratt Developments plc
BKG.L,Berkeley Group Holdings plc
BHP.L,BHP Group Plc
BP.L,BP Plc
BATS.L,British American Tobacco plc
BLND.L,British Land Co plc
BT-A.L,BT Group plc
BNZL.L,Bunzl plc
BRBY.L,Burberry Group plc
CCL.L,Carnival plc
CNA.L,Centrica plc
CCH.L,Coca-Cola HBC AG
CPG.L,Compass Group plc
CRH.L,CRH plc
CRDA.L,Croda International plc
DCC.L,DCC plc
DGE.L,Diageo plc
EZJ.L,easyJet plc
EVR.L,Evraz plc
EXPN.L,Experian Plc
FERG.L,Ferguson plc
FLTR.L,Flutter Entertainment
GSK.L,GlaxoSmithKline plc
GLEN.L,Glencore plc
HLMA.L,Halma plc
HL.L,Hargreaves Lansdown plc
HIK.L,Hikma Pharmaceuticals
HSBA.L,HSBC Holdings plc
IMB.L,Imperial Brands Group
INF.L,Informa plc
IHG.L,InterContinental Hotels Group plc
IAG.L,International Consolidated Airlines Group SA
ITRK.L,Intertek Group plc
ITV.L,ITV plc
JD.L,JD Sports Fashion plc
JMAT.L,Johnson Matthey Plc
JET.L,Just Eat Takeaway.com NV
KGF.L,Kingfisher
LAND.L,Land Securities Group plc
LGEN.L,Legal & General Group plc
LLOY.L,Lloyds Banking Group plc
LSE.L,London Stock Exchange Group plc
MNG.L,M&G plc
MGGT.L,Meggitt
MRO.L,Melrose Industries plc
MNDI.L,Mondi Plc
MRW.L,Morrison (Wm) Supermarkets
NG.L,National Grid
NXT.L,Next plc
NMC.L,NMC Health Plc
OCDO.L,Ocado Group plc
PSON.L,Pearson plc
PSN.L,Persimmon plc
PHNX.L,Phoenix Group Holdings Plc
POLY.L,Polymetal International plc
PRU.L,Prudential plc
RB.L,Reckitt Benckiser Group Plc
REL.L,RELX plc
RTO.L,Rentokil Initial Plc
RMV.L,Rightmove plc
RIO.L,Rio Tinto plc
RR.L,Rolls Royce Holdings Plc
RBS.L,Royal Bank of Scotland Group plc
RDSA.L,Royal Dutch Shell Plc A Shares
RDSB.L,Royal Dutch Shell Plc B Shares
RSA.L,RSA Insurance Group
SGE.L,Sage Group plc
SBRY.L,Sainsbury (J) plc
SDR.L,Schroders plc
SMT.L,Scottish Mortgage Investment Trust
SGRO.L,Segro Plc
SVT.L,Severn Trent Plc
SN.L,Smith & Nephew plc
SMDS.L,Smith (DS)
SMIN.L,Smiths Group Plc
SKG.L,Smurfit Kappa Group Plc
SPX.L,Spirax-Sarco Engineering plc
SSE.L,SSE plc
STJ.L,St James's Place Plc
STAN.L,Standard Chartered plc
SLA.L,Standard Life Aberdeen Plc
TW.L,Taylor Wimpey plc
TSCO.L,Tesco plc
TUI.L,TUI AG
ULVR.L,Unilever plc
UU.L,United Utilities Group Plc
VOD.L,Vodafone Group plc
WTB.L,Whitbread plc
WPP.L,WPP plc
