Symbol,Name
III.L,3i Group Plc
3IN.L,3i Infrastructure plc
FOUR.L,4imprint Group plc
888.L,888 Holdings
ASL.L,Aberforth Smaller Companies Trust
ADM.L,Admiral Group
AGK.L,Aggreko plc
AAF.L,Airtel Africa plc
AJB.L,AJ Bell Plc
ATST.L,Alliance Trust plc
AAL.L,Anglo American
ANTO.L,Antofagasta Holdings
APAX.L,Apax Global Alpha Limited
ASCL.L,Ascential Plc
ASHM.L,Ashmore Group plc
AHT.L,Ashtead Group plc
ABF.L,Associated British Foods plc
AGR.L,Assura plc
AML.L,Aston Martin Lagonda
AZN.L,AstraZeneca plc
AUTO.L,Auto Trader Group plc
AVST.L,Avast plc
AVV.L,AVEVA Group plc
AGT.L,AVI Global Trust plc
AV.L,Aviva plc
AVON.L,Avon Rubber plc
BME.L,B&M European Value Retail SA
BAB.L,Babcock International Group
BA.L,BAE Systems plc
BGFD.L,Baillie Gifford Japan Trust plc
BAKK.L,Bakkavor Group Plc
BBY.L,Balfour Beatty plc
BGEO.L,Bank Of Georgia Group Plc
BNKR.L,Bankers Investment Trust plc
BARC.L,Barclays plc
BAG.L,Barr (A.G.)
BDEV.L,Barratt Developments plc
BBGI.L,BBGI Sicav SA
BEZ.L,Beazley plc
BWY.L,Bellway plc
BKG.L,Berkeley Group Holdings plc
BHP.L,BHP Group Plc
BYG.L,Big Yellow Group
BRSC.L,BlackRock Smaller Companies Trust
BRWM.L,BlackRock World Mining Trust
BCPT.L,BMO Commercial Property Trust Ltd
BGSC.L,BMO Global Smaller Companies plc
BOY.L,Bodycote plc
BP.L,BP Plc
BRW.L,Brewin Dolphin Holdings plc
BATS.L,British American Tobacco plc
BLND.L,British Land Co plc
BVIC.L,Britvic plc
BT-A.L,BT Group plc
BNZL.L,Bunzl plc
BRBY.L,Burberry Group plc
CCR.L,C & C Group plc
CNE.L,Cairn Energy plc
CLDN.L,Caledonia Investments plc
CPI.L,Capita plc
CAPC.L,Capital & Counties Properties plc
CCL.L,Carnival plc
CEY.L,Centamin plc
CNA.L,Centrica plc
CINE.L,Cineworld Group plc
CTY.L,City Of London Investment Trust
CKN.L,Clarkson plc
CBG.L,Close Brothers Group plc
CLI.L,CLS Holdings plc
COA.L,Coats Group plc
CCH.L,Coca-Cola HBC AG
CPG.L,Compass Group plc
CCC.L,Computacenter plc
GLO.L,ContourGlobal plc
CTEC.L,ConvaTec Group Plc
CSP.L,Countryside Properties Plc
CWK.L,Cranswick plc
CRST.L,Crest Nicholson Holdings plc
CRH.L,CRH plc
CRDA.L,Croda International plc
DJAN.L,Daejan Holdings plc
DCC.L,DCC plc
DPH.L,Dechra Pharmaceuticals plc
DLN.L,Derwent London plc
DGE.L,Diageo plc
DPLM.L,Diploma plc
DLG.L,Direct Line Insurance Group plc
